year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Precipitation - Weighing,Solar - Incoming,Solar - Outgoing,Wind Speed - Average 4.4,Wind Speed - Gust 4.4,Wind Speed - Average 2.0,Wind Speed - Gust 2.0,Wind Direction,RH,Pressure,Soil Moisture - 5 cm,Soil Moisture - 10 cm,Soil Moisture - 20 cm,Battery,Dew Point                                                                    ,
2022,1,2,2,0,-3.968,0,0,1,-9999.90039,7.02,10.78,7.02,10.78,10,90.21999,100.89468,         NaN,         NaN,0.3148,4.14333,-5.33733,-9999.90039
2022,1,2,2,15,-3.954,0,0,1,-9999.90039,7.62,12.1,7.62,12.1,18,89.7,100.89334,         NaN,         NaN,0.3148,4.146,-5.40067,-9999.90039
2022,1,2,2,30,-3.97,0,0,1,-9999.90039,9.2,13.72,9.2,13.72,25,89.21333,100.93201,         NaN,         NaN,0.3148,4.13067,-5.486,-9999.90039
2022,1,2,2,45,-4.002,0,0,1,-9999.90039,6.7,10.17333,6.7,10.17333,22,88.91335,100.93001,         NaN,         NaN,0.3148,4.14133,-5.56,-9999.90039
2022,1,2,3,0,-4.034,0,0,1,-9999.90039,4.23333,8.39333,4.23333,8.39333,14,88.96667,100.93401,         NaN,         NaN,0.3148,4.142,-5.58733,-9999.90039
2022,1,2,3,15,-4.146,0,0,1,-9999.90039,6.71333,11.79333,6.71333,11.79333,17,89.09998,100.95933,         NaN,         NaN,0.3148,4.14267,-5.676,-9999.90039
2022,1,2,3,30,-4.184,0,0,1,-9999.90039,5.32,9.36667,5.32,9.36667,21,89.09998,100.96799,         NaN,         NaN,0.3148,4.12733,-5.714,-9999.90039
2022,1,2,3,45,-4.288,0,0,1,-9999.90039,9.88,14.62,9.88,14.62,15,88.98,100.938,         NaN,         NaN,0.3148,4.14267,-5.83867,-9999.90039
2022,1,2,4,0,-4.34,0,0,1,-9999.90039,4.21333,8.53333,4.21333,8.53333,355,88.88002,100.96133,         NaN,         NaN,0.3148,4.14267,-5.902,-9999.90039
2022,1,2,4,15,-4.476,0,0,1,-9999.90039,4.26667,10.23334,4.26667,10.23334,10,88.80001,100.98799,         NaN,         NaN,0.3148,4.142,-6.046,-9999.90039
